"team","conference","coach","status","url","date"
"Georgetown","Big East","Darnell Haney","named interim head coach for the 2023-24 season","https://guhoyas.com/news/2023/10/23/womens-basketball-georgetown-athletics-announce-passing-of-head-womens-basketball-coach-tasha-butts.aspx","2023-10-23"
"Georgetown","Big East","Darnell Haney","named head coach","https://guhoyas.com/news/2024/3/20/womens-basketball-darnell-haney-named-georgetown-womens-basketball-head-coach.aspx","2024-03-20"
"Georgia Southern","Sun Belt","Anita Howard","out as head coach","https://gseagles.com/news/2024/3/12/womens-basketball-change-of-leadership-for-eagle-womens-basketball-program-announced.aspx","2024-03-12"
"Georgia Southern","Sun Belt","Hana Haden","hired","https://gseagles.com/news/2024/3/29/hana-haden-named-georgia-southern-womens-basketball-head-coach.aspx","2024-03-29"
"Hampton","CAA","David Six","retires","https://hamptonpirates.com/news/2024/3/18/womens-basketball-david-six-announces-retirement-as-hampton-womens-basketball-coach.aspx","2024-03-18"
"Hampton","CAA","Tamisha Augustin","hired","https://hamptonpirates.com/news/2024/3/26/tamisha-augustin-named-hamptons-head-womens-basketball-coach.aspx","2024-03-26"
"Kentucky","SEC","Kyra Elzy","is relived of duties","https://ukathletics.com/news/2024/03/11/kyra-elzy-kentucky-womens-basketball-head-coach-relieved-of-duties/","2024-03-11"
"Kentucky","SEC","Kenny Brooks","hired","https://ukathletics.com/news/2024/03/26/kenny-brooks-named-kentucky-womens-basketball-head-coach/","2024-03-26"
"Mercer","SoCon","Susie Gardner","resigns","https://mercerbears.com/news/2024/3/9/womens-basketball-gardner-resigns-as-womens-basketball-head-coach.aspx","2024-03-09"
"Mercer","SoCon","Michelle Clark-Heard","hired","https://mercerbears.com/news/2024/3/21/womens-basketball-mercer-announces-michelle-clark-heard-as-womens-basketball-head-coach.aspx","2024-03-22"
"North Alabama","ASUN","Missy Tiber","out as head coach","https://roarlions.com/news/2024/3/11/womens-basketball-una-opts-not-to-renew-contract-of-coach-missy-tiber.aspx","2024-03-11"
"North Alabama","ASUN","Candi Whitaker","hired","https://roarlions.com/news/2024/3/25/womens-basketball-candi-whitaker-named-una-womens-basketball-head-coach.aspx","2024-03-25"
"Robert Morris","Horizon","Charlie Buscaglia","resigns","https://rmucolonials.com/news/2024/2/12/womens-basketball-rmu-womens-basketball-announces-change-in-leadership.aspx","2024-02-12"
"Robert Morris","Horizon","Chandler McCabe","hired","https://rmucolonials.com/news/2024/3/18/womens-basketball-rmu-names-chandler-mccabe-womens-basketball-head-coach.aspx","2024-03-18"
"Tulane","AAC","Lisa Stockton","retires","https://tulanegreenwave.com/news/2024/3/19/womens-basketball-green-wave-head-coach-lisa-stockton-announces-retirement.aspx","2024-03-19"
"Tulane","AAC","Ashley Langford","hired","https://tulanegreenwave.com/news/2024/4/2/womens-basketball-langford-named-tulane-womens-basketball-head-coach-in-return-to-uptown.aspx","2024-04-02"
"Utah State","Mountain West","Kayla Ard","is relieved of duties","https://utahstateaggies.com/news/2024/3/10/womens-basketball-change-in-womens-basketball-leadership-at-utah-state-university.aspx","2024-03-10"
"Utah State","Mountain West","Wesley Brooks","hired","https://utahstateaggies.com/news/2024/4/1/wesley-brooks-named-head-womens-basketball-coach-at-utah-state-university.aspx","2024-04-01"
"Virginia Tech","ACC","Kenny Brooks","leaves for the Kentucky job","","2024-03-26"
"Virginia Tech","ACC","Megan Duffy","hired","https://hokiesports.com/news/2024/4/3/womens-basketball-megan-duffy-named-virginia-tech-womens-basketball-head-coach.aspx","2024-04-03"
"Youngstown State","Horizon","John Barnes","resigns","https://ysusports.com/news/2024/1/19/womens-basketball-barnes-steps-down-as-youngstown-states-womens-basketball-head-coach.aspx","2024-01-19"
"Youngstown State","Horizon","Melissa Jackson","hired","https://ysusports.com/news/2024/3/14/womens-basketball-melissa-jackson-chosen-to-lead-youngstown-states-womens-basketball-program.aspx","2024-03-14"
